signal_ts_et,date,time_et,symbol,side,score,underlying_close,fire_rank,c_trend,c_vwap_evt,c_or_evt,c_squeeze,c_rsi,c_vol,engine,conflict_bar
2026-06-10T10:45:00-04:00,2026-06-10,10:45,IWM,C,45,287.48,3,True,False,False,True,False,False,scout,False
2026-06-10T11:15:00-04:00,2026-06-10,11:15,IWM,C,50,284.27,4,True,False,True,False,True,False,scout,False
2026-06-10T11:15:00-04:00,2026-06-10,11:15,META,P,60,576.42,1,,,,,,,prime,False
2026-06-10T12:30:00-04:00,2026-06-10,12:30,QQQ,P,45,698.85,1,True,False,False,True,False,False,scout,False
2026-06-10T12:30:00-04:00,2026-06-10,12:30,SPY,P,45,730.68,1,True,False,False,True,False,False,scout,False
2026-06-10T13:00:00-04:00,2026-06-10,13:00,QQQ,P,45,698.3,3,True,False,False,True,False,False,scout,False
2026-06-10T13:00:00-04:00,2026-06-10,13:00,SPY,P,45,730.36,3,True,False,False,True,False,False,scout,False
2026-06-10T13:30:00-04:00,2026-06-10,13:30,IWM,P,55,284.07,1,True,False,False,True,True,False,scout,False
2026-06-10T13:30:00-04:00,2026-06-10,13:30,QQQ,P,45,697.57,5,True,False,False,True,False,False,scout,False
2026-06-10T13:30:00-04:00,2026-06-10,13:30,SPY,P,45,729.59,5,True,False,False,True,False,False,scout,False
2026-06-10T14:00:00-04:00,2026-06-10,14:00,AAPL,C,45,294.02,1,,,,,,,prime,False
2026-06-10T14:00:00-04:00,2026-06-10,14:00,IWM,P,55,284.72,3,True,False,False,True,True,False,scout,False
2026-06-10T14:45:00-04:00,2026-06-10,14:45,META,P,80,573.54,1,,,,,,,prime,False
2026-06-11T10:00:00-04:00,2026-06-11,10:00,AMZN,C,65,237.33,1,,,,,,,prime,False
2026-06-11T10:00:00-04:00,2026-06-11,10:00,GOOGL,P,60,348.13,1,,,,,,,prime,False
2026-06-11T10:00:00-04:00,2026-06-11,10:00,META,P,55,563.31,1,,,,,,,prime,False
2026-06-11T10:00:00-04:00,2026-06-11,10:00,MSFT,P,55,391.51,1,,,,,,,prime,False
2026-06-11T10:15:00-04:00,2026-06-11,10:15,QQQ,P,50,701.43,1,True,False,True,False,True,False,scout,False
2026-06-11T10:30:00-04:00,2026-06-11,10:30,SPY,P,50,728.82,1,True,False,True,False,True,False,scout,False
2026-06-11T10:45:00-04:00,2026-06-11,10:45,QQQ,P,45,700.83,2,False,True,True,False,True,False,scout,False
2026-06-11T11:00:00-04:00,2026-06-11,11:00,IWM,C,45,285.01,1,False,False,True,True,True,False,scout,False
2026-06-11T11:00:00-04:00,2026-06-11,11:00,SPY,P,45,725.6,3,True,False,False,True,False,False,scout,False
2026-06-11T11:15:00-04:00,2026-06-11,11:15,QQQ,C,45,699.52,1,False,False,True,True,True,False,scout,False
2026-06-11T11:30:00-04:00,2026-06-11,11:30,IWM,C,45,286.05,3,True,False,False,True,False,False,scout,False
2026-06-11T11:45:00-04:00,2026-06-11,11:45,QQQ,C,50,700.79,2,False,True,False,True,True,False,scout,False
2026-06-11T11:45:00-04:00,2026-06-11,11:45,SPY,P,50,727.86,4,True,False,True,False,True,False,scout,False
2026-06-11T12:15:00-04:00,2026-06-11,12:15,SPY,P,50,729.89,5,True,False,True,False,True,False,scout,True
2026-06-11T12:45:00-04:00,2026-06-11,12:45,SPY,C,45,728.63,4,False,False,True,True,True,False,scout,False
2026-06-11T13:15:00-04:00,2026-06-11,13:15,MSFT,P,55,385.13,1,,,,,,,prime,False
2026-06-11T14:15:00-04:00,2026-06-11,14:15,QQQ,C,45,709.66,3,True,False,False,True,False,False,scout,False
2026-06-12T10:00:00-04:00,2026-06-12,10:00,AMZN,P,65,234.18,1,,,,,,,prime,False
2026-06-12T10:15:00-04:00,2026-06-12,10:15,IWM,C,45,293.31,1,True,False,False,True,False,False,scout,False
2026-06-12T10:15:00-04:00,2026-06-12,10:15,QQQ,C,45,718.83,1,True,False,False,True,False,False,scout,False
2026-06-12T10:15:00-04:00,2026-06-12,10:15,SPY,C,60,739.31,1,True,False,True,True,False,False,scout,False
2026-06-12T10:45:00-04:00,2026-06-12,10:45,IWM,C,45,293.27,3,True,False,False,True,False,False,scout,False
2026-06-12T11:00:00-04:00,2026-06-12,11:00,QQQ,C,45,720.97,3,True,False,False,True,False,False,scout,False
2026-06-12T11:00:00-04:00,2026-06-12,11:00,SPY,C,60,742.36,3,True,False,True,True,False,False,scout,False
2026-06-15T10:00:00-04:00,2026-06-15,10:00,GOOGL,C,70,369.22,1,,,,,,,prime,False
2026-06-15T10:15:00-04:00,2026-06-15,10:15,IWM,C,45,295.47,1,True,False,False,True,False,False,scout,False
2026-06-15T10:15:00-04:00,2026-06-15,10:15,QQQ,C,60,740.34,1,True,False,True,True,False,False,scout,False
2026-06-15T10:15:00-04:00,2026-06-15,10:15,SPY,C,60,753.03,1,True,False,True,True,False,False,scout,False
2026-06-15T10:45:00-04:00,2026-06-15,10:45,IWM,C,45,295.36,3,True,False,False,True,False,False,scout,False
2026-06-15T10:45:00-04:00,2026-06-15,10:45,QQQ,C,45,740.02,3,True,False,False,True,False,False,scout,False
2026-06-15T10:45:00-04:00,2026-06-15,10:45,SPY,C,60,753.32,3,True,False,True,True,False,False,scout,False
2026-06-15T11:15:00-04:00,2026-06-15,11:15,IWM,C,45,295.08,4,True,False,False,True,False,False,scout,False
2026-06-16T10:00:00-04:00,2026-06-16,10:00,GOOGL,P,70,368.12,1,,,,,,,prime,False
2026-06-16T10:00:00-04:00,2026-06-16,10:00,META,C,50,602.53,1,,,,,,,prime,False
2026-06-16T10:00:00-04:00,2026-06-16,10:00,NVDA,P,45,208.71,1,,,,,,,prime,False
2026-06-16T10:00:00-04:00,2026-06-16,10:00,TSLA,C,55,409.77,1,,,,,,,prime,False
2026-06-16T10:15:00-04:00,2026-06-16,10:15,AVGO,P,55,384.92,1,,,,,,,prime,False
2026-06-16T10:30:00-04:00,2026-06-16,10:30,QQQ,C,45,739.11,1,True,False,False,False,True,True,scout,False
2026-06-16T10:45:00-04:00,2026-06-16,10:45,GOOGL,C,65,373.08,1,,,,,,,prime,False
2026-06-17T10:00:00-04:00,2026-06-17,10:00,MSFT,P,70,389.8,1,,,,,,,prime,False
2026-06-17T10:00:00-04:00,2026-06-17,10:00,NVDA,P,80,207.19,1,,,,,,,prime,False
2026-06-17T10:00:00-04:00,2026-06-17,10:00,TSLA,P,70,398.55,1,,,,,,,prime,False
2026-06-17T10:15:00-04:00,2026-06-17,10:15,IWM,P,50,294.48,1,True,False,True,False,True,False,scout,False
2026-06-17T10:45:00-04:00,2026-06-17,10:45,AMZN,P,65,241.26,1,,,,,,,prime,False
2026-06-17T10:45:00-04:00,2026-06-17,10:45,IWM,C,55,293.55,1,False,False,True,True,True,True,scout,False
2026-06-17T10:45:00-04:00,2026-06-17,10:45,QQQ,P,50,733.01,1,True,False,True,False,True,False,scout,False
2026-06-17T11:00:00-04:00,2026-06-17,11:00,TSLA,P,65,399.59,1,,,,,,,prime,False
2026-06-17T11:30:00-04:00,2026-06-17,11:30,IWM,C,45,294.73,3,True,False,False,True,False,False,scout,False
2026-06-17T11:30:00-04:00,2026-06-17,11:30,QQQ,P,50,732.64,2,True,False,True,False,True,False,scout,True
2026-06-17T11:45:00-04:00,2026-06-17,11:45,SPY,C,45,750.35,1,False,True,True,False,True,False,scout,False
2026-06-17T12:00:00-04:00,2026-06-17,12:00,QQQ,C,65,733.43,3,False,True,True,True,True,False,scout,True
2026-06-17T12:15:00-04:00,2026-06-17,12:15,MSFT,P,45,385.72,1,,,,,,,prime,False
2026-06-17T14:15:00-04:00,2026-06-17,14:15,NVDA,P,60,206.16,1,,,,,,,prime,False
2026-06-17T14:15:00-04:00,2026-06-17,14:15,SPY,P,70,746.61,1,True,False,True,True,False,True,scout,False
2026-06-18T10:00:00-04:00,2026-06-18,10:00,AAPL,C,55,298.27,1,,,,,,,prime,False
2026-06-18T10:15:00-04:00,2026-06-18,10:15,IWM,P,45,291.78,1,True,False,False,True,False,False,scout,False
2026-06-18T10:15:00-04:00,2026-06-18,10:15,QQQ,P,50,735.64,1,True,False,True,False,True,False,scout,False
