signal_ts_et,symbol,side,score
2026-06-15 11:45:00-04:00,GOOGL,C,70
2026-06-15 12:45:00-04:00,GOOGL,C,70
2026-06-16 10:00:00-04:00,GOOGL,C,70
2026-06-16 10:30:00-04:00,GOOGL,C,70
2026-06-16 10:45:00-04:00,GOOGL,C,70
2026-06-16 11:00:00-04:00,GOOGL,C,70
2026-06-29 11:15:00-04:00,GOOGL,C,70
2026-06-29 11:30:00-04:00,GOOGL,C,70
2026-06-29 11:45:00-04:00,GOOGL,C,70
2026-06-29 13:00:00-04:00,GOOGL,C,70
2026-06-30 10:30:00-04:00,GOOGL,C,70
2026-06-30 11:15:00-04:00,GOOGL,C,70
2026-06-30 11:45:00-04:00,GOOGL,C,70
2026-06-30 14:00:00-04:00,GOOGL,C,70
2026-07-01 10:15:00-04:00,GOOGL,C,70
2026-07-01 10:30:00-04:00,GOOGL,C,70
2026-07-01 13:45:00-04:00,GOOGL,C,70
2026-07-01 14:00:00-04:00,GOOGL,C,70
2026-07-06 10:15:00-04:00,GOOGL,C,70
2026-07-06 10:30:00-04:00,GOOGL,C,70
2026-07-06 11:00:00-04:00,GOOGL,C,70
2026-07-06 11:15:00-04:00,GOOGL,C,70
2026-07-07 11:15:00-04:00,GOOGL,C,70
2026-07-07 12:30:00-04:00,GOOGL,C,70
2026-07-07 13:15:00-04:00,GOOGL,C,70
2026-07-07 13:45:00-04:00,GOOGL,C,70
2026-07-14 12:45:00-04:00,GOOGL,C,70
2026-07-14 13:00:00-04:00,GOOGL,C,70
2026-07-14 13:15:00-04:00,GOOGL,C,70
2026-07-15 10:00:00-04:00,GOOGL,C,70
2026-07-15 10:15:00-04:00,GOOGL,C,70
2026-07-15 10:30:00-04:00,GOOGL,C,70
2026-07-15 11:00:00-04:00,GOOGL,C,70
2026-07-16 10:15:00-04:00,GOOGL,C,70
2026-07-16 10:30:00-04:00,GOOGL,C,70
2026-07-16 12:15:00-04:00,GOOGL,C,70
2026-06-12 11:00:00-04:00,AVGO,C,70
2026-06-12 11:15:00-04:00,AVGO,C,70
2026-06-15 11:00:00-04:00,AVGO,C,70
2026-06-15 11:15:00-04:00,AVGO,C,70
2026-06-15 11:30:00-04:00,AVGO,C,70
2026-06-15 13:30:00-04:00,AVGO,C,70
2026-06-17 10:15:00-04:00,AVGO,C,70
2026-06-17 11:00:00-04:00,AVGO,C,70
2026-06-17 13:45:00-04:00,AVGO,C,70
2026-06-18 11:00:00-04:00,AVGO,C,70
2026-06-18 12:00:00-04:00,AVGO,C,70
2026-06-18 13:30:00-04:00,AVGO,C,70
2026-06-30 11:45:00-04:00,AVGO,C,70
2026-06-30 13:30:00-04:00,AVGO,C,70
2026-07-06 12:00:00-04:00,AVGO,C,70
2026-07-08 09:45:00-04:00,AVGO,C,70
2026-07-08 10:00:00-04:00,AVGO,C,70
2026-07-08 10:30:00-04:00,AVGO,C,70
2026-07-08 12:00:00-04:00,AVGO,C,70
2026-07-09 10:30:00-04:00,AVGO,C,70
2026-07-09 11:00:00-04:00,AVGO,C,70
2026-07-09 11:15:00-04:00,AVGO,C,70
2026-07-09 11:30:00-04:00,AVGO,C,70
2026-07-10 13:15:00-04:00,AVGO,C,70
2026-07-10 13:30:00-04:00,AVGO,C,70
2026-07-14 13:45:00-04:00,AVGO,C,70
2026-07-14 14:00:00-04:00,AVGO,C,70
2026-06-12 11:15:00-04:00,TSLA,C,70
2026-06-12 12:15:00-04:00,TSLA,C,70
2026-06-12 12:45:00-04:00,TSLA,C,70
2026-06-12 13:00:00-04:00,TSLA,C,70
2026-06-15 12:15:00-04:00,TSLA,C,70
2026-06-15 13:30:00-04:00,TSLA,C,70
2026-06-16 09:45:00-04:00,TSLA,C,70
2026-06-22 10:00:00-04:00,TSLA,C,70
2026-06-22 11:00:00-04:00,TSLA,C,70
2026-06-22 12:45:00-04:00,TSLA,C,70
2026-06-22 13:45:00-04:00,TSLA,C,70
2026-06-26 12:30:00-04:00,TSLA,C,70
2026-06-26 13:00:00-04:00,TSLA,C,70
2026-06-29 10:15:00-04:00,TSLA,C,70
2026-06-29 11:30:00-04:00,TSLA,C,70
2026-06-29 11:45:00-04:00,TSLA,C,70
2026-06-29 12:00:00-04:00,TSLA,C,70
2026-06-30 10:00:00-04:00,TSLA,C,70
2026-06-30 11:30:00-04:00,TSLA,C,70
2026-06-30 12:30:00-04:00,TSLA,C,70
2026-06-30 12:45:00-04:00,TSLA,C,70
2026-07-01 10:00:00-04:00,TSLA,C,70
2026-07-01 11:00:00-04:00,TSLA,C,70
2026-07-01 11:15:00-04:00,TSLA,C,70
2026-07-09 14:00:00-04:00,TSLA,C,70
2026-07-10 11:15:00-04:00,TSLA,C,70
2026-07-10 12:45:00-04:00,TSLA,C,70
2026-07-10 14:00:00-04:00,TSLA,C,70
